product_id,group_id,image_uuid,status
42108,35779,8b4a7e83-5d5d-4807-bcd5-1d20c641de67,success
42955,35695,6640b44d-49f3-42c0-aa94-2946058c731e,success
42465,35820,002306e1-3ea9-4806-8efb-2f0a88bfa77b,success
43618,35835,77a124a8-0600-4770-b975-df0137aa27b3,success
43199,35699,dc2098e3-62d3-4042-bf4e-b8e1f570f8d8,success
43420,35808,065bd517-e1a7-42b8-8973-65113510e037,success
43469,35817,49064075-0e93-4618-9970-e52dd1c9190e,success
43458,35816,36260e22-9319-4a29-9ab3-1be23ab854f4,success
42860,35742,b8f2618a-528d-46b9-b88d-141ff76307ae,success
42424,35759,3db6882c-1ede-495a-bd19-cf29bf509c1d,success
43248,35761,b7a56f7d-4b92-4c78-8277-d3b5ef671e9b,success
91608,79483,9a272cf1-2f44-4bc9-bb4d-f87ea9e4b738,success
43080,35811,11093828-1ac3-48d1-8d0a-4bd0d0accda2,success
43081,35812,e55724bd-e423-4e22-aab1-0ece5f66b320,success
43082,35813,3e4ff5c2-cdc0-4afa-a5dd-8deb4552e69e,success
43083,35814,5251ba68-b946-4118-921c-d89e46569dac,success
41789,35701,a603e214-66a7-41a4-9514-e82802cdb72b,success
42104,35778,d080ae83-daaf-4beb-baf8-b6d9b64bd392,success
42057,35772,1fbae82d-e60f-4439-b9bc-76aee53bae5b,success
41836,35728,da638b8d-8084-4594-bbeb-2e2903f8397a,success
42867,35760,ef67f641-c238-4168-953e-68028c0ef66b,success
43444,35815,0785468c-ccc2-4f84-acf3-c1aa6f3d2a5c,success
42964,35698,cbde7e39-5f98-4948-99fa-fd0fb91935d4,success
42946,35690,7943e3fe-465e-43a7-885b-e2e053527033,success
42956,35696,47280827-fa3b-4441-b4a4-76ea17d1861b,success
41856,35735,65b2e6a2-8d88-4ed0-a1f5-d0430f4c4455,success
42613,35793,0fd8d357-3318-4971-be4d-21e4134d30d3,success
42608,35791,7796a7a0-4496-4b5b-9981-74c920883c81,success
43321,35806,d66b6291-28d2-49d9-9b4d-b7cce596a263,success
68549,60621,eb6baad8-91ef-49b3-a208-23440d3724c8,success
42520,35873,e31127fb-b914-4c95-b36a-6e37eb780faf,success
82429,72351,f5181b75-9b77-4fac-8f21-62de39e3e171,success
42518,35872,063c6dcb-a7c0-423a-8b96-481248cb5604,success
82437,72358,e905ca85-aada-4d96-90dc-939b50072cfb,success
43567,35748,5416fd0c-d541-48d5-8f00-863b3b47ee2c,success
43823,37784,edee0742-726c-424b-982f-e6b66260008c,success
42407,35752,ff6e0937-31a4-404d-9a27-28d11c99930d,success
92881,80674,d7f1e582-c71d-4985-9848-d6cb3d1fb244,success
42411,35755,412fdcbb-892c-4b3b-ac36-ea7287ba5628,success
42262,35830,cdb04832-7989-4bf5-807d-eef58c26ae65,success
42253,35829,3fd0ef12-0878-4b60-9537-333ef65e3803,success
42507,35826,4107e2bd-0288-4d79-9380-c49c7cd33fe4,success
42254,35829,3fd0ef12-0878-4b60-9537-333ef65e3803,success
41689,35768,b3f4df8b-9ebe-49d9-8662-8a02dc926f63,success
42196,35786,8ccfae69-d4df-4591-a242-4f90dec54604,success
41776,35687,441bb7ad-9dae-4a8c-8e7f-921e4f389290,success
41774,35686,870dd43f-762b-4f6f-93e7-d557527d4c14,success
43391,35765,de49f253-d0df-45af-a6e0-f89c0a154033,success
43365,35764,9a3a5bc7-d4d2-4123-9be0-140ce25d152b,success
88865,76975,62a98f4a-180f-4b9c-aa85-88435c0a656f,success
43396,35766,a7a4286d-83b7-4202-b4fd-2b7ac6c6243f,success
42222,35787,2ba67b46-13b5-4d3c-9776-3b9c010b08dc,success
42408,35753,139f3521-7aea-4e44-bed6-e40bcb1880ce,success
92878,80671,d96e46dc-d6c2-4128-8c0b-e0f4ec3931b2,success
42409,35754,e29cbe26-ef40-4163-98eb-d6cd174b180f,success
76419,67079,0c54f4d3-4cc5-44c0-9a10-a46b3c8078e9,success
42418,35757,a324c9bd-5398-4abc-b348-9fc1b900aa07,success
41867,35744,09b58518-6e81-4eae-9f5d-548a88a6f4a5,success
42073,35777,1eb9fa7b-3774-49e2-8624-0837dbee5948,success
42151,35782,ca0ba660-887b-4e9b-a90f-a52c2d36acad,success
43324,35807,82af078e-4012-4308-869f-853cd8661b88,success
42169,35784,3af6ebb8-d678-489f-8a8a-b16fd53c32b4,success
42161,35783,299a0fcd-2a3a-43e8-b96f-1cbc4bf69fa1,success
42160,35783,299a0fcd-2a3a-43e8-b96f-1cbc4bf69fa1,success
43202,35700,2625f507-d8d9-4e13-89c0-e71132e8af08,success
41835,35727,a3941b4f-b495-441d-8840-53f0b23ae429,success
60503,53613,0f1814f6-fb2e-40df-b3fc-d3262a860930,success
43747,35836,8d1ba61a-e0b1-4cd1-b456-389f8db49aa3,success
43753,35838,59011b0c-0ae5-4a72-b5c3-b8f8564cf0bb,success
42708,35865,c1b1b39e-3493-4e12-9849-bee4ac717319,success
42698,35858,3d8dd3e0-c33c-4c13-9737-27c01694774f,success
42691,35851,5195201e-073c-4e3e-9cc4-c933566a4810,success
42692,35852,3cc573b8-d060-44d8-9151-b22ff49c0b91,success
42694,35854,23427df0-1fb9-4931-8e9a-7f7bbc565711,success
42695,35855,d390d079-2833-4fdf-9035-562783b6879e,success
42693,35853,e01a6a67-ec2a-4040-8b05-7dde8e690f80,success
42696,35856,32b96107-5798-4706-b087-f0569ad21f00,success
42709,35866,ab74dd7e-9eed-4f7d-a7d5-98df28a3f1da,success
42697,35857,f4a5bfad-1160-415e-b8ca-c191aa870c85,success
42702,35862,1c0af044-9d42-406b-a52f-25e097aef228,success
42699,35859,fa5fcf01-2f23-4170-8e12-4b630be608bc,success
42700,35860,0db9fe67-379f-4992-99db-ea00e8eb9296,success
42701,35861,2ae7c302-bc8c-4a85-9f16-ae398488570c,success
42704,35864,df2c5394-2b49-48c9-b9fa-c1c33656fe83,success
42703,35863,2cf878a1-a2f5-460d-b48e-8b029438a732,success
81092,71256,1c92609a-d72a-4deb-a461-d0df356b3da3,success
60473,53588,7555e6ba-0067-42b0-8817-8c7d1e8f5a53,success
79400,69770,9e369caa-7d0f-45be-964d-83e2b16aa216,success
83274,73099,4d4cb670-3a2a-43e6-8405-4795fea6e997,success
42234,35827,97c3d226-55c9-4f06-8718-eeae09e35710,success
42314,35833,590fbba7-3a73-4391-8bb6-f393ed9bcef8,success
42478,35822,165af885-d863-423e-a6f1-038cfe657969,success
68542,60614,cd02ba92-e739-4e7d-9282-82f5c87e74ac,success
88595,76767,b42c1525-6175-45fa-a464-903bcd49f629,success
88703,76767,b42c1525-6175-45fa-a464-903bcd49f629,success
41749,35683,57f21198-3865-4f35-b158-b654be5a110c,success
41760,35685,22acea0e-d875-4d0d-80cf-a81a622e126d,success
42621,35794,1d0578d7-97aa-4610-a486-217d9453d056,success
43659,35845,90f4cd31-11d3-47f8-9d59-02cdaa42a14c,success
81446,71511,0349bbcd-7878-4f05-ad94-84c711dddc33,success
82523,72451,f9063eeb-10c0-4c6e-8b5b-865f0185398b,success
41606,35717,73ef1556-a4dc-4ff7-8838-59d7b3777fac,success
41605,35717,73ef1556-a4dc-4ff7-8838-59d7b3777fac,success
43290,35801,298d09ce-9e89-4663-adf9-46de1bbf13e1,success
41735,35879,0709c4bb-36c0-4ff9-a14d-7d18f01921d2,success
41753,35684,e4a71e2d-a472-4677-b84f-354a92c23871,success
41787,35688,477700bd-923a-449a-b9f5-4b4a0f235039,success
81099,71260,8d989e90-376f-49f0-bd10-71d6935f3ef7,success
42178,35785,cf458495-0332-4b29-b7a7-edddf3efd583,success
41842,35730,892e65ae-f669-472e-b330-891c7701f28a,success
42110,35780,ffb502c4-8022-4437-b362-5806bc2deb14,success
