product_name,prior_image_uuid,new_image_uuid,product_group_url
"Live Resin Full Candyland (Sativa)","ef23e077-5b1e-4f54-8fe3-97b9b2b15d5f","6a1d96c6-7f28-4045-b45f-4efa70a89568","https://prime.sweedpos.com/store_setup/products/product/36802"
"Live Resin Hash Burger","20a51c21-d740-463e-9bd2-1395ed6bc1b4","0fa236a9-fa71-439d-8bfd-a1f316924156","https://prime.sweedpos.com/store_setup/products/product/36726"
"Live Resin Lemon Cane","20feec9a-b992-4466-8d9c-d4072eb6ea7d","85a7708c-6f4f-4114-8712-68a84fe3a956","https://prime.sweedpos.com/store_setup/products/product/36711"
"Live Resin Limeaid","8ff704ae-847c-4efc-a9a0-33eb8d79d564","c8e92310-cc8a-4179-b9c5-5ff9784bb4b2","https://prime.sweedpos.com/store_setup/products/product/67120"
"Live Resin Nectarine Jelly","452e6d69-c4b5-4ea2-bc04-aa8a0c3437fd","1c44095a-9ac9-4ce5-9ee0-6390dc5cb51a","https://prime.sweedpos.com/store_setup/products/product/36866"
"Live Resin Pineapple Trainwreck (Sativa)","e3cd22b8-e51b-4cec-877f-fcccee038f75","1820ddac-9012-41f5-93bf-54ab34476c17","https://prime.sweedpos.com/store_setup/products/product/36804"
"Live Resin Sauce La Bomba","95a7adff-404c-4980-bb1c-a1eb0217c257","7f269c41-1d69-4091-945a-4e313d21be60","https://prime.sweedpos.com/store_setup/products/product/36822"
"Live Resin Sauce Strawberry Fields","3294e2b0-b80c-4d31-a7ca-7c564b84bdce","7d5c8bf8-4777-4fef-bab8-59cb80501644","https://prime.sweedpos.com/store_setup/products/product/36847"
"Live Resin The Belafonte","e952854a-1944-4ce4-b113-9bc5d8508656","9da1ec48-1a12-4697-8e76-8a7cea737a6c","https://prime.sweedpos.com/store_setup/products/product/36727"
"Live Resin Thorny Berry x OG Kush CBN","546e3e64-ff32-434f-bf49-a529bb748834","4d8c2723-d17f-44d2-adbb-e043bd515efe","https://prime.sweedpos.com/store_setup/products/product/36698"
"Live Resin Tropic Truffle","1403fb48-64b7-4577-8840-58f8bbcebd98","7d9c1c9e-ae3f-4e68-8d23-68a199e5443a","https://prime.sweedpos.com/store_setup/products/product/36865"
"Live resin vape sour apple x lemon cherry gelato ","8b33816f-5134-4858-84e1-1ea95660e6c7","02092594-52e1-41e8-a689-6e9f4bb12abe","https://prime.sweedpos.com/store_setup/products/product/67121"
"Live Resin White Fire","5b1b4b27-e8c5-4a12-b235-eb9dca57ed98","c454a064-0d79-43d4-a9c9-5352d8b2c46d","https://prime.sweedpos.com/store_setup/products/product/36728"
"Live Resin Z-Unit","f56f1211-c6cc-4b13-a58d-2de0ae86e4b7","6668a0f0-e84f-48f3-9642-541c82c82de1","https://prime.sweedpos.com/store_setup/products/product/36729"
"Live Rosin - Dulce de Fresa","0471402e-62d5-46b4-9e6c-8b663b12b236","4cbbb571-9568-467d-b784-f5adc6a98b81","https://prime.sweedpos.com/store_setup/products/product/36876"
"Live Rosin - LeMoon Fruit","fd85beec-fc60-4049-b4ed-1b2622633202","26eb2c79-6992-49e4-8166-6873c9b562a0","https://prime.sweedpos.com/store_setup/products/product/36874"
"Live Rosin - Rainbow Guava","46894c77-b696-4708-a08d-4ee9d4b2220a","a2af9ccd-5c42-4658-b990-b7067f8adc1b","https://prime.sweedpos.com/store_setup/products/product/36873"
"Live Rosin - Sour Papaya","0d7b0028-3255-4af6-b173-eca7abed2944","37aec3b3-b41a-449e-a058-02ef5a7c8f8e","https://prime.sweedpos.com/store_setup/products/product/36875"
"Live Rosin Blueberry Muffin","00cb7233-bb6f-4137-8b02-52c905ea94db","fb02ce96-5e03-4bda-a612-26aae82e29b4","https://prime.sweedpos.com/store_setup/products/product/36832"
"Live Rosin Watermelon x Northern Kush","b72d96e4-2c52-47fe-a781-11230054bdf1","2b1592f4-1e2c-4d9a-a701-a0543f59dbc4","https://prime.sweedpos.com/store_setup/products/product/36699"
"Lobotomy","9f25f6c6-665f-4ca9-b034-d285489f1400","bcb408df-efd4-4dad-b229-abe0da13fa14","https://prime.sweedpos.com/store_setup/products/product/36817"
"London Pound Cake","63a13472-2484-491a-90e8-25b7603aaedb","f52928a3-79c5-4a53-b1a7-90bb5600f509","https://prime.sweedpos.com/store_setup/products/product/36774"
"Lychee Dream","b2e3cc4a-96bb-4117-a617-898faa09072c","6e486f51-4bec-4fdd-b9ab-bbe92821071c","https://prime.sweedpos.com/store_setup/products/product/36882"
"Mac D","391ec2b2-c99b-4a00-ace3-aa9c50a8d942","066ad298-c116-433d-b5eb-b34ffcce0843","https://prime.sweedpos.com/store_setup/products/product/79491"
"Malefi-Scentt","8d13d8e5-d9c5-4973-b7e8-7aaf1d2bd091","6b062732-36e2-4e72-9fad-bd596aae174c","https://prime.sweedpos.com/store_setup/products/product/37053"
"Mango dog x White Runtz","7d009125-29fc-4473-9844-10f3dff07448","b8d945eb-7ca6-443d-a1ec-e5fedf9fda2d","https://prime.sweedpos.com/store_setup/products/product/67082"
"Mango Haze","8827732c-e042-4c4b-aeb6-5a9b00931ad6","f032b81f-75df-4bec-bd21-a18f430b3433","https://prime.sweedpos.com/store_setup/products/product/37004"
"Mango Kush (Indica Hybrid)","82ed2819-f38e-484f-b374-1ded980383a6","3fbea6f8-f570-4605-a435-86ba9427424a","https://prime.sweedpos.com/store_setup/products/product/37080"
"Mango Passionfruit","1ca373c0-121c-497e-9168-bafce24a6fd2","a361afff-2f78-4844-ae8f-bcdd9708b8bc","https://prime.sweedpos.com/store_setup/products/product/79485"
"Maui Wowie","be0d1605-c639-4315-ae6a-eef28d6d7c24","0d20f3de-f05a-44dd-9c47-c21f26e8e174","https://prime.sweedpos.com/store_setup/products/product/36908"
"Medellin","439cc3a1-0c7c-4ffa-bb45-0ee3c9d99994","db6c6e72-b2ae-430f-b1d3-e9a3737d034d","https://prime.sweedpos.com/store_setup/products/product/71236"
"Mendo Crumble Cold Cure","840e5f2b-ec38-4cff-96de-7c6ea459b1d2","9f427331-845e-4393-8ed6-1fb439b29747","https://prime.sweedpos.com/store_setup/products/product/40773"
"mfused Super Fog Cupids Kush Jefé","86285098-061b-404e-9514-529b6a63c624","54124cdf-e9f4-4c46-878c-ae67782f3301","https://prime.sweedpos.com/store_setup/products/product/37036"
